heuristic_id,component,code_location,current_value,decision_effect,configurable,documented,test_covered,provenance,provenance_evidence,comments
H26,wfo.py,wfo.py:74-78,"2.5*cagr - 0.60*mdd + 8.0*sharpe + 5.0*pf + min(n/50,1)*5.0",advisory only (score delta computation),no,yes (SPEC_METRICS.md),yes,documented but weak,SPEC_METRICS.md L249-263; objective.py,Weights documented but not statistically derived
H27,wfo.py / config.py,wfo.py:361-364 config.py:130-131,low_trade_threshold=5 / min_trades_for_power=5,route only (power window classification),yes (ValidationConfig),yes (implicit),no,unproven,config.py default only,No documentation for why 5 trades minimum
H28,trade_level.py,trade_level.py:33,SMALL_MEAN_IMPROVEMENT_THRESHOLD=0.0002,soft HOLD (via H09),no (hardcoded),yes (spec_trade_level_suite.md),yes,documented but weak,spec_trade_level_suite.md L410-415,Dimensional analysis provided but threshold not formally calibrated
H29,trade_level.py,trade_level.py:31,BOOTSTRAP_BLOCK_LENGTHS=(42 84 168),advisory only (CI width),no (hardcoded),yes (spec_trade_level_suite.md),yes,inferred,spec_trade_level_suite.md L314-341,Tied to strategy autocorrelation structure; no formal ACF analysis
H30,trade_level.py,trade_level.py:32,BOOTSTRAP_RESAMPLES=10000,advisory only (CI precision),no (hardcoded),no,yes,inferred,Standard bootstrap practice,10000 is conventional; adequate for CI estimation
H31,trade_level.py,trade_level.py:30,H4_BAR_MS=14400000 (4h matching tolerance),advisory only (trade matching),no (hardcoded),yes (spec_trade_level_suite.md),yes,proven,H4 bar duration = 4 hours exactly,Physical constant of H4 timeframe
H32,selection_bias.py,selection_bias.py:120,DSR > 0.95 → passed,soft HOLD (via H11 if fails),no (hardcoded),yes,yes,proven,Bailey & Lopez de Prado 2014; alpha=0.05,Standard one-sided significance level
H33,selection_bias.py,selection_bias.py:187,PBO proxy <= 0.5 → passed,soft HOLD (via H11 if fails),no (hardcoded),yes,yes,proven,Bailey et al. 2015 PBO definition,0.5 = theoretical breakeven (worse than random above)
H34,selection_bias.py,selection_bias.py:79,t_samples < 30 → fallback to none,route only (disables DSR),no (hardcoded),yes (dsr.py),yes,inferred,CLT rule of thumb; dsr.py L178,Standard convention; may be insufficient for heavy-tailed BTC
H35,data_integrity.py / config.py,data_integrity.py:524 config.py:153,missing_bars_fail_pct=0.5 (0.5%),runner ERROR elevation (via H18),yes (ValidationConfig),no,yes,unproven,config.py default only,No documentation for why 0.5%
H36,data_integrity.py / config.py,data_integrity.py:526 config.py:155,warmup_fail_coverage_pct=50.0,runner ERROR elevation (via H18),yes (ValidationConfig),no,no,unproven,config.py default only,No documentation for why 50%
H37,data_integrity.py / config.py,data_integrity.py:523 config.py:154,gap_multiplier=1.5,advisory only (gap detection sensitivity),yes (ValidationConfig),no,no,unproven,config.py default only,Standard outlier detection multiplier
H38,invariants.py,invariants.py:24,_EPS=1e-9,advisory only (float comparison tolerance),no (hardcoded),no,yes,inferred,Standard float epsilon,Well below any meaningful threshold
H39,invariants.py,invariants.py:25,_EXPO_THRESHOLD=0.005,route only (entry signal detection),no (hardcoded),yes (engine.py inline comment),yes,inferred,engine.py L28 inline comment,0.5% = dust-order filter; mirrors engine.py
H40,invariants.py,invariants.py:27,_DEFAULT_MAX_VIOLATIONS=200,advisory only (output truncation),no (hardcoded),no,no,unproven,None,Arbitrary reporting cap
H41,regression_guard.py,regression_guard.py:121-131,abs(delta) <= abs_tol OR delta >= min_delta OR delta <= max_delta,runner ERROR elevation (via H20),yes (golden file tolerances),yes,yes,proven,Golden file methodology,Tolerances defined per-metric in golden file
H42,lookahead.py,lookahead.py:71,exit_code == 0 → pass; else fail,hard REJECT (via H03),no (pytest semantics),yes,yes,proven,Pytest exit code convention,Standard test runner semantics
H43,wfo.py,wfo.py:65,profit_factor capped at 3.0,advisory only (score computation),no (hardcoded),yes (SPEC_METRICS.md),no,documented but weak,SPEC_METRICS.md design notes,Prevents PF-farming; cap value not calibrated
H44,wfo.py,wfo.py:382-384,cost scenario priority: harsh → base → smart,route only (scenario selection),no (hardcoded),no,no,unproven,None,Undocumented priority chain
H45,wfo.py,wfo.py:78,n_trades/50.0 saturation in objective,advisory only (score computation),no (hardcoded),yes (SPEC_METRICS.md),no,documented but weak,SPEC_METRICS.md design notes,Avoids rewarding churn; 50 not calibrated
H46,decision.py,decision.py:503-513,wfo_low_power AND no trade_level_bootstrap → soft HOLD,soft HOLD,no,yes,yes,inferred,Missing evidence = cannot promote,Structural: low-power needs trade-level evidence
H47,trade_level.py,trade_level.py:291,min_dd_pct=5.0 for drawdown episodes,advisory only,no (hardcoded),no,no,unproven,None,Drawdown episode detection threshold
