exit_ts,exit_bar_index,exit_price,exit_regime,reentry_ts,reentry_bar_index,reentry_latency_bars,reentry_reason,reentry_regime,next_trade_id,next_trade_net_pnl,next_trade_return_pct,next_trade_exit_reason,next_trade_fees,next_trade_days_held
2023-07-24T11:59:59Z,12182,29269.99,BULL,2023-07-28T15:59:59Z,12207,25,vdo_trend_accel,TOPPING,56,-2679.6,-5.0627,emergency_dd,150.53,20.0
2023-08-17T15:59:59Z,12327,27934.02,BULL,2023-08-18T07:59:59Z,12331,4,vdo_dip_buy,NEUTRAL,57,-278.56,-0.3949,trailing_stop,153.22,13.5
2024-01-22T19:59:59Z,13276,39820.31,CHOP,2024-01-23T15:59:59Z,13281,5,vdo_dip_buy,CHOP,63,16733.24,27.6669,trailing_stop,207.98,31.33
2024-06-11T11:59:59Z,14120,66890.01,BULL,2024-06-12T15:59:59Z,14127,7,vdo_trend_accel,TOPPING,70,-3142.41,-4.7916,emergency_dd,186.47,5.0
2024-06-17T15:59:59Z,14157,65368.0,TOPPING,2024-06-20T07:59:59Z,14173,16,vdo_trend_accel,BULL,71,-4984.18,-5.7466,emergency_dd,246.65,4.17
2024-06-24T11:59:59Z,14198,61291.95,BULL,2024-06-26T03:59:59Z,14208,10,vdo_trend_accel,BULL,72,-6100.15,-7.2156,emergency_dd,239.85,8.83
2024-07-04T23:59:59Z,14261,57050.01,BULL,2024-07-06T15:59:59Z,14271,10,vdo_trend_accel,NEUTRAL,73,-2688.63,-4.1368,emergency_dd,184.53,1.5
2024-07-08T03:59:59Z,14280,55160.01,NEUTRAL,2024-07-16T15:59:59Z,14331,51,vdo_trend,BULL,74,-6255.07,-8.4621,emergency_dd,208.98,18.0
2024-08-03T15:59:59Z,14439,60879.0,BULL,2024-08-06T03:59:59Z,14454,15,vdo_trend_accel,NEUTRAL,75,1497.34,2.3358,trailing_stop,208.24,12.83
2024-10-10T19:59:59Z,14848,59727.28,BULL,2024-10-11T19:59:59Z,14854,6,vdo_trend_accel,BULL,79,2224.16,3.8045,trailing_stop,186.35,11.67
2025-02-02T19:59:59Z,15538,98273.16,CHOP,2025-02-04T19:59:59Z,15550,12,vdo_trend_accel,CHOP,87,-9126.55,-8.9001,emergency_dd,289.5,20.5
2025-02-25T07:59:59Z,15673,89320.01,BULL,2025-02-26T11:59:59Z,15680,7,vdo_dip_buy,BULL,88,-5211.87,-6.7467,emergency_dd,219.39,1.67
2025-02-28T03:59:59Z,15690,80452.44,NEUTRAL,2025-02-28T19:59:59Z,15694,4,vdo_trend_accel,NEUTRAL,89,-4305.94,-5.3281,trailing_stop,229.86,3.5
2025-03-07T03:59:59Z,15732,86991.25,BULL,2025-03-29T15:59:59Z,15867,135,vdo_dip_buy,NEUTRAL,91,227.03,0.4344,trailing_stop,240.52,7.67
2025-08-01T19:59:59Z,16618,113328.68,BULL,2025-08-03T19:59:59Z,16630,12,vdo_trend_accel,TOPPING,96,748.64,0.9023,trailing_stop,300.43,11.83
2025-08-25T19:59:59Z,16762,110716.13,BULL,2025-08-26T15:59:59Z,16767,5,vdo_dip_buy,BULL,98,-2872.26,-2.8902,emergency_dd,279.73,5.5
2025-09-01T03:59:59Z,16800,107660.01,BULL,2025-09-02T07:59:59Z,16807,7,vdo_trend_accel,BULL,99,3268.43,3.7899,trailing_stop,274.92,18.83
2025-10-16T15:59:59Z,17073,108549.21,BULL,2025-10-19T03:59:59Z,17088,15,vdo_trend_accel,NEUTRAL,102,392.71,0.5657,trailing_stop,284.83,10.83
2025-11-13T19:59:59Z,17242,98682.14,NEUTRAL,,,,,,,,,,,
