artifact_name,phase_or_step,purpose,classification,used_in_master_spec,used_in_deployment,must_keep,file_type,readable,notes
step2_plots.zip,STEP2,Step 2 EDA plot bundle,REPORT-ONLY,False,False,False,zip,True,
step2_plots/bars_to_next_entry_fill_ecdf.png,STEP2,Visualization artifact,REPORT-ONLY,False,False,False,png,True,
step2_plots/bars_to_next_entry_signal_ecdf.png,STEP2,Visualization artifact,REPORT-ONLY,False,False,False,png,True,
step2_trail_episode_table.csv,STEP2,Frozen trail-stop episode table for modeling / EDA anchoring,AUTHORITATIVE,True,False,True,csv,True,Shared authoritative episode anchor table reused by both branches
step3_experiment_charter.md,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,md,True,Superseded by later frozen artifact or master spec package
step3_experiment_charter_v2.md,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,md,True,Superseded by later frozen artifact or master spec package
step3_experiment_charter_v3.md,STEP3,Legacy branch final pre-commit charter,AUTHORITATIVE,True,False,True,md,True,
step3_gates_locked.json,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,json,True,Superseded by later frozen artifact or master spec package
step3_gates_locked_v2.json,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,json,True,Superseded by later frozen artifact or master spec package
step3_gates_locked_v3.json,STEP3,Legacy branch final gates lock,AUTHORITATIVE,True,False,True,json,True,
step3_patch2_notes.md,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,md,True,Superseded by later frozen artifact or master spec package
step3_patch_notes.md,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,md,True,Superseded by later frozen artifact or master spec package
step3_scope_lock.md,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,md,True,Superseded by later frozen artifact or master spec package
step3_scope_lock_v2.md,STEP3,Superseded charter / lock / patch artifact retained for audit trail,DEPRECATED,False,False,True,md,True,Superseded by later frozen artifact or master spec package
step3_scope_lock_v3.md,STEP3,Legacy branch final scope lock,AUTHORITATIVE,True,False,True,md,True,
step4_binary_candidate_rankings.csv,STEP4,Legacy branch exploratory binary candidate ranking,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_binary_candidate_summary.csv,STEP4,Legacy branch exploratory binary candidate summary,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_calibration.csv,STEP4,Legacy branch calibration report data,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_candidate_signal_log.csv,STEP4,Legacy branch closed-loop candidate signal log,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_feature_correlation_primary.csv,STEP4,Project artifact,DERIVED,False,False,True,csv,True,
step4_feature_distribution_primary.csv,STEP4,Project artifact,DERIVED,False,False,True,csv,True,
step4_feature_importance.csv,STEP4,Legacy branch permutation importance output,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_feature_matrix_primary.csv,STEP4,Legacy branch primary feature matrix,REJECTED-BRANCH,True,True,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_feature_missingness_primary.csv,STEP4,Project artifact,DERIVED,False,False,True,csv,True,
step4_model_cv_results.csv,STEP4,Legacy branch CV and model-selection results,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_model_family_summary.csv,STEP4,Project artifact,DERIVED,False,False,True,csv,True,
step4_model_report.md,STEP4,Legacy branch model report,REPORT-ONLY,False,False,True,md,True,
step4_oos_score_distribution_summary.csv,STEP4,Project artifact,DERIVED,False,False,True,csv,True,
step4_oos_scores.csv,STEP4,Legacy branch temporal OOS prediction scores,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_plots.zip,STEP4,Visualization artifact,REPORT-ONLY,False,False,False,zip,True,
step4_plots/best_model_calibration.png,STEP4,Visualization artifact,REPORT-ONLY,False,False,False,png,True,
step4_plots/best_model_feature_importance.png,STEP4,Visualization artifact,REPORT-ONLY,False,False,False,png,True,
step4_plots/binary_candidate_sharpe.png,STEP4,Visualization artifact,REPORT-ONLY,False,False,False,png,True,
step4_plots/oos_score_hist_elastic_net_logistic_regression.png,STEP4,Visualization artifact,REPORT-ONLY,False,False,False,png,True,
step4_quartile_analysis.csv,STEP4,Legacy branch OOS quartile analysis,REJECTED-BRANCH,True,False,True,csv,True,Retained to document rejected legacy branch and failure mode; non-deployable
step4_temporal_split_manifest.csv,STEP4,Project artifact,DERIVED,False,False,True,csv,True,
